dzr_sng_id,sng_id,art_name_lower,track_id
70834488,SOYSNGR12A8C131C4D,karla bonoff,TRTKEHA128F4267D2D
15729097,SOYBYCD12A6D4F6AFE,talking heads,TRMHIUP128F145F494
10127529,SORIFYY12A8C1365F2,terence trent d'arby,TRCGFVE128F4279801
11166351,SODHSTT12AB017CE74,iron lung corp,TRCOWJY128F930BC51
27661451,SOYRVKY12AB0187741,crash,TRTAHNE128F934B9EA
3433551,SOCISWD12A58A7DD29,david mccallum,TRVLGGF128F1461568
81127702,SOAYIUG12A6D4F857A,phil ochs,TRJCNSK128F1463D32
3335072,SODEVYE12A8C134F55,mijares,TRZFLBR128F425967F
74780852,SOGKEFY12A8C13DCE1,boom bip,TRBVCXM128F429DB2F
108661214,SOUIMLJ12A58A7B1DC,orphaned land,TRSJPNJ12903CAEB9C
3335120,SOGDBLF12A8C137C3B,mijares,TRMXJYL128F426A50D
2639370,SOTWGSH12AB01810EC,chiens de paille,TRZUFJW128F92FCAB2
2011346,SOEMHCH12A8C132F42,agency 1994,TREBBAI128F4242059
63650232,SOPKJSV12A8C140F26,the grassmasters,TRSMZFI128F4282073
5185909,SOCAHVK12AC9075493,bobby watson,TRDOUPF12903CFC15F
15435900,SOMXQXK12AF72A4137,tyrese,TRBFRAL128F42AF45A
13340547,SOVMFCC12AB017DD7B,gemelli diversi,TRCJKAS12903CA3B0C
15589614,SOIIOWZ12D0219A652,sean kingston,TRXTPQY128F425DC07
69306849,SOFWVPY12A6D4FBA43,zachary richard,TRWCRRF128F422EF95
72745770,SOESAXR12AB0186B6F,leonardo favio,TRGKHLM128F9340541
13330600,SOLYSLE12AB0185EE3,silvestre dangond & juancho de la espriella,TRXXOYO128F93432AA
131283052,SONHVOJ12AB0181E52,stray,TRDGWWV128F92F94A0
101691251,SOGOAFP12AB0184A70,syncopix,TRKUHIF128F931F017
81365586,SOPCNCL12A8C13587D,shed seven,TRYQLUF128F424C2A4
11534321,SOQYLTA12AB017DE3E,23 skidoo,TRCFOAW128F9312A95
15099272,SOSSVZF12A8C132A09,the breeders,TRUMQDC128F423EAE6
116471354,SOHKOMJ12AB0189411,champion jack dupree,TRVUDJW12903CE0389
69712346,SONJYKA12A8C144A91,the replacements,TRVTNUC128F92CEE72
96990322,SODLRWV12A8C1416DD,birmingham jubilee singers,TRLCAIE128F42A0459
6402234,SOJUXBR12AAA15CFCA,sugar aloes,TRDCLJL128F92EE64A
2639378,SOQORVJ12AB0180B0B,chiens de paille,TROMXBD128F92FCADE
63706987,SOGESGI12A8C1391BE,hieroglyphics,TRLDSZX128F425B770
76884254,SOQBGVM12A5891DD6B,modest mouse,TRONDNE128F4284E64
80299960,SOCMMQU12A58A7F2D4,rick james,TRHDNGA128F145E8BD
108635212,SORVYMJ12A8C143662,james labrie,TRIFRQZ128F92E4E1C
121234574,SOCMOXQ12AB0185032,bennie moten's kansas city orchestra,TRMBAUO12903C98E92
13468423,SOQUXEQ12A6D4FDA2E,interpol,TRPBSJW128F4229766
13358234,SONUFTE12A8C14404E,udo,TRTRYBZ128F92D50F5
100155824,SOTJLAX12A8C1402C7,goldfinger,TRJLNZL128F4284C6E
117469938,SOHIPPY12A8C138399,legacy five,TRKXJWJ128F4259EA5
123362674,SOKMSKS12A8C133331,la makina,TRUVIMI128F423404A
5834116,SOYEJEE12A58A7E452,the vara-tones,TRTRADD128F422A2AD
11880004,SOIYXDX12AB018228E,salty dog,TRVTFII128F9332065
97437736,SOCODYN12AB0184763,grandpa jones,TRHVHOI12903CBF125
5609795,SOJYUXY12A8C13EB54,worm,TRAYYKY128F92C9424
15703108,SOJAXIT12A8C139063,mijares,TRXOGIJ128F42755AA
82364882,SOFDIRT12AB018C691,bob gallion,TRVZRUN12903CAB493
9901646,SOPDQWH12AC9609F82,helen love,TRRGPTG12903CF2B4E
3411867,SOXTBIJ12A8C139433,cattivi pensieri,TRIYXUC128F4269777
63416988,SONUOYL12AC3DF44B4,king britt,TRHSFSJ12903CE7D0B
3431473,SONRFER12A67AD808C,david axelrod,TRQFDQR128E0794A0E
5390866,SOMUUFN12AB01856DF,rebeca,TRYFEVC128F933F637
116545864,SODGPIQ12AAF3B4336,the spongetones,TRNGZDX128F92F89F7
30234551,SOQKIQB12AB0185648,dmz,TRNIJYY128F934B089
63421010,SOYLGUG12A58A7D5F2,john littlejohn,TRODGML128F4287E2E
77509782,SOJGGRJ12AB0187F86,victor young,TRVJFCY12903CAA393
61451270,SOZKQIE12AB018E1C5,gatas parlament,TRXSNSJ12903CBC35B
3017353,SOYJGQQ12AF72A6039,james & bobby purify,TRAVMNH128F92F0737
129464034,SOMSYUR12A58A7E018,ulrich schnauss,TRIIALE128F92CD1BE
100920834,SOVBGNS12AB017A9A2,rhonda vincent,TRSORCZ128F9307774
1366839,SOJHISC12A8C132BD9,am i blood,TRMTZEX128F42525A5
132197506,SOIVVDJ12AB017F480,ednita nazario,TRPYNPA128F92FA809
76936919,SOWYGXD12A81C1F878,barry louis polisar,TRDHRFN128F422B15B
90727273,SOMTGBT12A8C13C4EA,interpol,TRHZSRQ128F429EB40
3248390,SOKYVCC12AF72A20CF,the magic numbers,TRRUHOD128F42ACA97
134799118,SOHBVXV12AB017F14C,4lyn,TRWRSPH128F930184D
85334374,SOEFJXY12AB018AB05,joan of arc,TRBDJHH12903CE41C3
97329122,SOIOLXD12A8C13F606,lordi,TRULMLK128F42AE878
108832106,SOPTJQE12AC468AD2D,venetian snares,TRHYNVB12903D15D62
135548972,SOFWZCX12AB0180A1C,joni james,TRPTWGE128F9316917
117415420,SOQRJTI12AB0183131,legacy five,TROPMMW12903CA02FC
36358791,SOAQYHJ12A6D4F89AE,danza invisible,TRKUOBE128F1473D3E
2796575,SOSKNIF12A58A7EDF8,dee dee sharp,TRXWZTH128F9321316
76983140,SOPHKZB12A8C13E178,hem,TRSYEHQ12903CF727B
850100,SOMQJYU12A8C1369E1,joe diffie,TRUQSYF128F4270358
7764614,SOYTENY12AF72A9A38,bloodhound gang,TRPXVJJ12903CE52E8
6251623,SOFMVVU12AB01823F4,phil the agony,TRNYJTJ128F9334186
2116706,SOOAIDW12A8C133DA3,guzzard,TRLYLVO128F4263AF6
64930778,SOPUHCZ12AB0186A3A,filteria,TRRHGRU12903CD986E
93446056,SONJLRL12A6D4F8F5C,the young knives,TRIRPVB128F149F420
98885866,SOTHMNV12AB018EF77,howard jones,TRHFTAE12903CD4C80
16332218,SOPINML12A6D4F89AD,danza invisible,TRJSOYT128F1473D3D
68772314,SOBQDWD12AB018B81C,earl wild,TRVEAPO12903CDD627
17988233,SOJXKTL12AF72A1F31,saul williams,TRPZJFF128F9302C54
13357919,SOJYFWI12AC468A1DE,eraserheads,TRAVJTL12903CF3D56
63115281,SOOACYH12AC468D5B2,christopher o'riley,TRCOMHO12903CEC69C
67447748,SOCIJAK12A6D4F63E2,dr feelgood,TRGMSUM128F146181A
2944031,SOJUOEN12A8C13D032,boys night out,TRWJIGY128F4293484
10854420,SOYAMPX12AB0186449,lowe,TRUWTIJ128F9342B59
27661551,SOSBKEY12AB01824B5,crash,TRMMLZW128F934B9F6
67447731,SODOZHP12A6D4F63EC,dr feelgood,TRZKVIG128F1461826
6632535,SOYTDBZ12A6D4FA26B,the young knives,TRAKSPF128F1480C90
15424165,SOFLTZY12A6D4F6A85,priestess,TRHZNGI128F931C7C5
4116833,SOKPYWS12AB0189B3A,jet,TROUDXA12903C9ADF8
63936021,SONJIJK12A8C13C1E6,banda maguey,TRBYSHG128F42764C0
70989661,SOIPGIE12AB0189128,scorn,TRUANDZ12903CDD21A
11086458,SOUCINH12AC3DF6BC9,dominique paris,TRYDXSJ12903CE411F
3017365,SOZXZYY12AB017CADB,james & bobby purify,TRGAGXF128F92F0748
62290298,SOAVOBR12A6D4F8B43,slick rick,TRTNIBK128F148D40D
947931,SOJHTNG12A8C13A1DD,kristin hersh,TRFGJFD128F4269C4D
18110152,SOUFOHM12AB01854BB,miss li,TRAWNYM12903CB266B
74408564,SOCRZUI12AB017EF87,michael klostermann,TRDFXHH128F9310330
11168909,SOKCINW12AB017FD71,park-like setting,TROYENS128F9330E7E
63409384,SOZYYXB12A8C140A1A,john littlejohn,TRIKOAH128F4287E3C
10940674,SOHAGGM12AB0185252,cheju,TRBCXVQ128F9303F21
86875325,SOAKRUQ12A6D4FAD2B,lone justice,TRDQFDG128F148D1EC
10730567,SOFKWUV12A8C13CB15,roger chapman,TRKPYSQ128F426AF5E
63363089,SOMDMFM12A58A7E9B2,justin rutledge,TRDSZWK128F92FF396
65994054,SOYUCGS12A8C138E41,chuck loeb,TRJZKRB128F9308E60
87476071,SOVUPJM12AB0184136,blackmore's night,TRVNATQ128F933E6B7
11340243,SOACACA12AB01851C0,negative format,TRGGCII128F9335089
69338976,SOUFYOG12A6D4F9CE0,the teardrop explodes,TRCOTZN128F1477656
668940,SOQNPEB12A8C13B722,daniel lanois,TRMBOKF128F426D3FA
36358691,SOLLGUZ12A6D4F89A4,danza invisible,TRRZUGR128F1473D34
74833800,SOEMKCR12A8C13F3ED,sheila walsh,TRPGCKG128F42B84DE
138540709,SOJUYLS12A6D4F7985,scritti politti,TRARWZA128F1458FE0
5543394,SOBHSDL12AB018D2F7,25 ta life,TRPOZSU12903CD09EA
59310901,SOCOTLO12A6D4F6CA0,the mission,TROSDLR128EF365F4B
73405145,SOVVNXV12AB018320B,anthony que,TRYMQQE128F93067C9
947911,SOLAIAJ12A8C132A4D,kristin hersh,TRELMKG128F423EAFB
15099254,SOOYXJX12A6D4F72D4,the breeders,TRIVPXO128F14787DD
124517996,SOVDMPF12AB0184FA7,peasant,TROYIRW12903CA5E90
10719228,SOIANFR12A8C13DD67,gary bartz,TRBTGWG128F4285E10
3178290,SOYJUZG12A8C13A183,the undecided,TRNTYSU128F4277CBE
127498685,SOMPFAC12AB018377A,karen young,TRHBURX128F930DFFC
39774011,SOOSXAD12A8C143E1C,udo,TRTDCPY128F92DD25B
13205471,SOHYEVV12AB0184039,echobelly,TREQWSL128F932E727
76883689,SOGPQXL12AB0183852,paul haslinger,TRBHERY128F931E45C
82524080,SOILLBD12AB01852B1,ginuwine,TRYSATJ128F9331328
3316944,SOMBJVZ12A6D4F6C4C,otep,TRDIYGS128F146167A
12042659,SOHMTGI12A8C142293,free diamonds,TRFMNZO128F429173D
11365214,SODVDXR12A8C13C131,the sneetches,TRVMVKO128F42704E9
67670370,SOADWVI12A6D4F7DB6,albert collins,TRNOXGE128F1468CDE
2224562,SOUABIR12A6D4FA81F,dr ring-ding & the senior allstars,TRMUAEA128F14A3551
67639488,SOFXFXN12AB01827D6,steve vai,TRAFRTX128F93426B7
18204360,SOXMVMT12AB0182C46,stella,TRNXQMY128F9320536
11151421,SONWGJD12AB01840D0,usurp synapse,TRLBQNK128F930B62E
68653261,SOWLVSY12A6D4FC67B,anthony que,TRLBZYP128F9335EA3
5093666,SOCZDGH12A6D4FAABA,talking heads,TRESTLN128F149BF89
3444690,SOYUBHT12AB0188B12,duke pearson,TRIKUGM128F932E1FD
58298191,SOLZBAT12A58A7AC81,stiff little fingers,TRDEQAH128F930325B
63706989,SOPKNCS12A8C1391C6,hieroglyphics,TRYHRFM128F425B772
13166034,SOGKEGB12A8C13BB48,charlotte martin,TRMVGRR128F4293644
67447723,SOAUFOK12AAF3B30EE,dr feelgood,TRRCNFR128F92D66A2
11815369,SOJXIVM12AB017C849,the unfinished sympathy,TRAKUTF128F92F9E5F
122462188,SOXULZM12AAF3B39C7,johnny ventura,TRVETGC128F92F3429
124517984,SOASDYL12AB018AE09,peasant,TRNIFFJ12903CA5E8A
131291014,SOVEHJI12AB018075C,stray,TRUVFFI128F92F93AF
13332458,SOEGJBH12AB018005E,melocos,TRWJSDX128F92FC4AA
15502108,SOSEQLV12AAA8C9493,michael klostermann,TRGVBDF128F92E1FAA
17939694,SOAAGZR12A6D4F8213,phil ochs,TRHICSB128F148B27F
16658777,SORNVNR12AB018B219,alex smoke,TRURXFT12903CE8300
3067818,SOMBXDM12AB0182662,michael white,TROGKSJ128F93216C3
4353803,SOGHIPM12A8C1383B9,show of hands,TRHHGKP128F426901C
20249941,SONWOMG12A670212EC,deep dish,TRTDGTF128E078E5E3
46433111,SOBGPBC12A58A79E22,bobby womack,TRINVYT128F14599D4
98953006,SOQYFUH12A8C134FD6,blue states,TRPHMCZ128F425BA9D
10157073,SOXHIJN12AC9071917,kate miller-heidke,TROKQMV12903CF534F
13332319,SOHWNOA12AB018640A,banda maguey,TRWDDTY12903CB5604
4752095,SOHMMOR12AC468C8B8,lelio luttazzi,TRSWTPU12903CEA684
125539270,SODBBBU12A6D4F79C9,duke pearson,TRFLPZW128F145CDAE
6347790,SOMXDJM12AB0183020,tieum,TRRIBYP128F92F8B7B
84682937,SOAKQSG12A6D4F6AFE,madness,TRNHZSW12903CA810F
13442390,SOCQRKH12AB0180A4C,sandra,TRNMFOA128F932B8CE
81114370,SOAKSJR12A8C141D5D,lillian glinn,TRZJMJL128F429F919
11062015,SOMSUSI12AC3DF9A77,warren smith,TRNCJAA12903CE9B0B
3242640,SOTUSVB12A6D4F8023,herman's hermits,TRQOZWP128F145AD6C
106734596,SOGQLKQ12A8C138A78,holger biege,TRFVHNB128F428F12D
2023016,SOSZUXQ12A8C138484,jon finn group,TRCJDLH128F427FCD2
1228663,SOGDZFP12A8C143314,wilton felder,TRYNGSB128F92CAF29
2271684,SOOXPBD12AB017B6F0,static-x,TRFSMUR128F92DEA20
1085285,SOCAAAI12A8C13D818,bata illic,TRPIYBJ128F427A6F0
11357269,SONOPIH12AB017F46A,oppressed logic,TRCGSTC128F930A324
62515116,SOGPQGK12AB018A30B,yuridia,TRAGZTU128F9348113
100920780,SODXYJO12AB0181ACF,rhonda vincent,TRFOTTR128F92FE671
134922686,SOMFWKO12AF72A2E0B,the charlatans,TRJJSAD128F4256B0D
89378723,SOBGVHP12AC46891BE,dom dummaste,TRIYUDU12903D0895C
2224561,SOPUGGM12A6D4FA81E,dr ring-ding & the senior allstars,TRTRLVV128F14A3550
63246148,SOZAYRC12A8C138105,steve vai,TRFLUPS128F4280A14
68617233,SOIAFKY12AB0181216,enrico rava,TRLIDRF128F93319DD
109865174,SOCZIUF12AB0181BCC,sheila walsh,TRXXSBI128F9303BA3
135548956,SOZGGAS12AB01807BB,joni james,TRIUJFS128F9316904
118646650,SOTWJOA12A8C137912,maximilian hecker,TRNGCID128F9339D7C
2639376,SOUJIIN12AB0180AF5,chiens de paille,TRNYPOG128F92FCAD4
13160999,SORDHSO12A58A7BDCF,donell jones,TRMXYQM128F930BA0B
2944035,SOPZVFF12A8C13D044,boys night out,TRULDGU128F429348A
2836281,SOHRTBY12AB017E7E6,winston mcanuff,TRRXLNB128F9338104
4713628,SOVLKZK12AB0184967,blanc faces,TRTLMMZ128F934EB93
69646908,SOASNBX12AB017EE16,the charlatans,TRVJRZI128F9308EB4
17879610,SOPUEGF12A6310E486,gerald albright,TRQZMFC128E078356F
14272768,SOFPEIJ12AB0180A06,ednita nazario,TROPMSQ128F9330590
13238769,SOMFOLT12A8C139966,gemelli diversi,TRSQTHH128F42927CC
3450572,SOBRAZF12A6D4F8109,eli,TRGICHR128F1481D44
11518904,SOPWIPF12AB018876A,jimmy lafave,TRYEJQP128F93523C5
3436223,SOGZDJP12A6D4F8728,dennis bovell,TRMHTWI128F1476AE0
2138145,SODBIIE12A6D4FB1B2,haydamaky,TRKPCOY128F14A3E96
5203462,SOPIKHU12AB018AD46,dr sapo,TRXAKQN12903CAE8A0
16957787,SOFMDUU12A8C1425B3,the mission,TRQUGSA128F932A82A
4951424,SOXASYK12AC960DF29,coronatus,TRUYQFH12903CF5850
18204357,SOALJVZ12AB0182C33,stella,TRUIZGA128F9320531
583532,SODOLGX12A8C13F744,sergio rivero,TRPNMEM128F42AE221
1809712,SOSYMDL12A6D4F4E64,jon finn group,TRVDFQX128EF352657
11357268,SOCLLRY12AB017F469,oppressed logic,TRBDRRB128F930A323
3444210,SOBINFC12A6D4F9CE6,duke pearson,TRFAPUH128E079470E
16611612,SOFFYPG12A8C1352B5,karla bonoff,TRZXXKM128F42704D2
17405119,SOCWSSC12AB01870C0,tamba trio,TRZGPQU128F93129AB
4093858,SORPZHB12AB018729D,ruth,TRIEHNM128F933C739
132197492,SONJOLU12AB017FB8D,ednita nazario,TRYEVRM128F92FC33B
13557747,SOFJDAV12A81C20F04,danza invisible,TRNNRHJ128F4237F34
68614862,SOQYKNV12AB018BC01,mercromina,TRPFREE12903CC5E9D
7276901,SOXSPAK12A8C140120,boy kill boy,TRAHPVO128F428E87E
3833114,SODBOFI12AB0185482,cece winans,TRSUGKH128F9345BDA
11166363,SOGJGMJ12AB017CEA2,iron lung corp,TRZKWLS128F930BC5F
2433701,SOFYAWV12AB017FB99,afu-ra,TRIBQHC128F93041DF
61463865,SOUVYYD12A8C146A7C,skid row,TROBDAN128F92EBCDB
70118578,SOVVKAR12A8C135AE0,terence trent d'arby,TROKDCA128F42797CF
102152560,SOBLBFK12A58A79CF9,champion jack dupree,TRNSNGO12903CDBE47
99571048,SOFQVIO12A81C23178,nelson ned,TRSJDNY128F4253DE8
3533436,SOFJGAD12A8C136ED5,les yeux noirs,TRYHQCI128F4269DED
15424154,SOVCAOT12A6D4F6A74,priestess,TRFVWUA128F931C7A6
63165680,SOLSIIH12AB0183967,james carr,TRHTIOI128F9303A1D
11520181,SOKXYTX12A8C13BF29,nofx,TRLZJOS128F428570A
4752063,SORHKVQ12AC468A912,lelio luttazzi,TRFBGZP12903CEA714
13344913,SOOSPHS12AB018AFF3,kate miller-heidke,TRPVOMJ12903CA9189
119722324,SOALZEG12A6D4F7820,charlie rich,TRKJYSP128F429BEF2
85204740,SOLRDCF12A8C14534E,hannah montana,TRPOPLZ12903CA44C2
1809706,SOKRFRY12A6D4F4E63,jon finn group,TRTGDEB128EF352655
67754568,SOKKNXN12A8AE488DA,kake randelin,TRTAGZA128F423B7DF
136115672,SOBHMJF12AC46864D9,charlie rich,TRGSABN12903CF7411
125541492,SONLDFH12A8C13574C,sandra,TRJVMOX128F425C293
125428742,SOHCEBF12A6D4F6EBD,alexis hk,TRFWKSH128F14720C2
99874594,SOADFZL12AB018478A,grandpa jones,TRHMDKI12903CBF132
63157445,SOOVPSM12AB0186971,the diplomats,TRMDGQC128F9328E08
6249630,SOTFVTK12AB017E88D,nural,TRTXGSZ128F932245E
63246222,SOEUUYC12AB018276D,steve vai,TRQUBBQ128F93426A0
69213503,SOBIYOK12A81C1F87E,barry louis polisar,TRJLPQU128F422B15D
10526169,SOEACMU12A8C13DADD,gary bartz,TRFUAMN128F427A6A4
85141098,SOIWVRK12AB018E5FE,ester drang,TRMWFFD12903CE86BB
15779085,SODGCYD12A8C13632C,paulo gonzo,TRCQMKH128F427CB15
73169413,SOXAZWC12A8C13EF83,barry louis polisar,TRFKLIC128F429A155
13268163,SOUCCVZ12AB018629E,sui generis,TRORJNG128F933A3AD
70594014,SOPNYRM12A8C136324,sibongile khumalo,TRANTNG128F4274332
129703852,SOFDIHQ12AB018216A,sergio vega,TRGPRKA128F9343847
70843822,SOBTXLS12AB0189DDB,laurel aitken,TREQKOC12903CA05C7
70989598,SOLKIXY12AB0186C4B,scorn,TRKUTJF12903CDD15E
5543393,SOAJDDS12AB018D2F4,25 ta life,TRBVCVU12903CD09E9
69153673,SOMMIIL12AB017D9D0,enrico rava,TRBEZPD128F9315E6A
90473501,SOSMCWO12AB01823A0,sodom,TRZSJPR128F932BB41
13358232,SOHSUVI12A8C144040,udo,TRMTOHB128F92D50E1
13705249,SOVJQOR12A8AE4786F,sean kingston,TRQKNYE128F425DC02
2058147,SOOZEYT12A8C13F9D1,mojo nixon,TROGLLU128F428F9B8
113399708,SOMSDZL12A8C134939,merauder,TRHDDVN12903CF4428
78301699,SOTNGZT12AB01871A9,miss li,TRSCHWT12903CB5A00
63165685,SOWNTBP12AB018B77B,james carr,TRVEPLE128F9339DBF
125539274,SOCVLSM12A6D4F79CB,duke pearson,TRSPUNO128F145CDB0
64589681,SOKWITG12AC9075551,7 seconds,TROOXPD12903CF297A
76199727,SONNZFA12AB018A167,pelle carlberg,TRWZRIK12903CB63E9
6119893,SOHFLLI12AB018C2A3,dallas holm,TRLBATS12903CBFB85
134774176,SOYJXGK12A8C141954,new model army,TRNSNUA128F930631A
3443925,SOAILLF12A8C13BBDC,dubstar,TRRWYSI128F4295A06
4377393,SOSKSOI12AB0180B52,sybreed,TRBHCQP12903CB2980
30828781,SOQQHVO12AB017CEB9,mamelo sound system,TRZNTYP128F9305254
8482540,SOLBGEF12AB0188147,don francisco,TRRKAFZ12903CB2D4C
1844327,SOJSHHK12A8C134578,chin chin,TRGJFBS128F42583B0
2168701,SONYWGN12A8C13F4F1,donell jones,TRNKZEI128F42B81ED
3306518,SOTSGGC12A8C14167B,philmore,TRXWBNF128F4284DC1
61269363,SOGERJB12AB01873CC,koop,TRSMAUP12903CBB9CE
59786461,SOAGQYP12A8C141A74,epic soundtracks,TRMEPDO128F4299F21
42286071,SOMSOYJ12AB017D8F9,vanessa carlton,TRDEPOC128E0783E34
15503621,SOSHKCL12AB017FE80,michael klostermann,TRHYQIZ128F93102B6
63254009,SOYXHJS12AB0181F67,blue states,TRBXIGJ128F934D074
74097586,SOBJEEL12A8C138288,howling bells,TRCUOSJ128F9323575
123346106,SOVEHCQ12A8C140F0C,paul haslinger,TRHVMFG128F42AAFF9
99613998,SOSAKIA12A8C145A2E,howard jones,TRFOGSW128F92CC3B2
12266562,SONFGDF12A8C132441,princess superstar,TRFIHDZ128F423E4B4
14470406,SOGQTSK12AAF3B1D72,southern gentlemen,TRCJUJW128F92D9BC3
129839330,SONHSST12A8C135BBA,the kills,TRNSSLK128F93038F1
5185907,SONAMHU12AC907547F,bobby watson,TRNHBIC12903CFC152
76883059,SOCQPNK12A8C136C89,delerium,TRORHLM12903D05F13
133544120,SOBZZUB12AB0182C63,arthur lyman,TRUWGIG128F930F8AE
113399676,SOVHNBJ12A8C13470D,merauder,TRFGKMU12903CF440C
115354742,SOFWSNG12AB017F17F,atomic rooster,TRYBTHT128F92FD8DE
3178280,SOZKPFT12A58A7CF5A,the undecided,TRMFZHM128F4277CB3
5203463,SOVTWEW12AB018AD49,dr sapo,TRSPTOT12903CAE8A1
130926170,SOBTOAV12A8C13CB03,marty haugen,TRXUNUW12903CE9CDC
85094046,SOBMIAW12AB018699C,joan of arc,TRQLGIS12903CE85B1
3069720,SOMWJCS12AAF3B29BB,winston mcanuff,TRPCSCD128F92F7620
