dzr_sng_id,artist
209374,MC Solaar
209376,MC Solaar
209377,MC Solaar
209378,MC Solaar
209379,MC Solaar
209381,MC Solaar
209382,MC Solaar
209383,MC Solaar
209387,MC Solaar
209389,MC Solaar
249479,MC Solaar
249480,MC Solaar
249483,MC Solaar
249484,MC Solaar
249486,MC Solaar
249491,MC Solaar
249492,MC Solaar
249495,MC Solaar
249497,MC Solaar
249499,MC Solaar
15003614,MC Solaar
15003615,MC Solaar
15003618,MC Solaar
15003619,MC Solaar
15003622,MC Solaar
15003624,MC Solaar
15003626,MC Solaar
15003627,MC Solaar
15003628,MC Solaar
15003629,MC Solaar
267373,FAUVE
267376,FAUVE
267378,FAUVE
267379,FAUVE
267381,FAUVE
267383,FAUVE
267384,FAUVE
267386,FAUVE
267387,FAUVE
92172446,FAUVE
92172454,FAUVE
92172456,FAUVE
92172458,FAUVE
92172462,FAUVE
92172464,FAUVE
92172466,FAUVE
92172470,FAUVE
92172472,FAUVE
92172476,FAUVE
289119,Chico Buarque
289120,Chico Buarque
289122,Chico Buarque
289123,Chico Buarque
289124,Chico Buarque
289126,Chico Buarque
289131,Chico Buarque
289134,Chico Buarque
289135,Chico Buarque
4679970,Chico Buarque
4679971,Chico Buarque
4679972,Chico Buarque
4679973,Chico Buarque
4679974,Chico Buarque
4679975,Chico Buarque
4679976,Chico Buarque
4679977,Chico Buarque
4679978,Chico Buarque
4679979,Chico Buarque
5758552,Chico Buarque
5758553,Chico Buarque
5758554,Chico Buarque
5758555,Chico Buarque
5758556,Chico Buarque
5758557,Chico Buarque
5758558,Chico Buarque
5758560,Chico Buarque
5758562,Chico Buarque
5758563,Chico Buarque
10968119,Chico Buarque
10968120,Chico Buarque
10968121,Chico Buarque
10968122,Chico Buarque
10968123,Chico Buarque
10968124,Chico Buarque
10968126,Chico Buarque
10968127,Chico Buarque
10968128,Chico Buarque
10968129,Chico Buarque
10972620,Chico Buarque
10972624,Chico Buarque
10972629,Chico Buarque
10972631,Chico Buarque
10972632,Chico Buarque
10972635,Chico Buarque
10972641,Chico Buarque
10972643,Chico Buarque
