dzr_sng_id,artist
64019791,Hall Of Fame
75846756,Hall Of Fame
75846752,Hall Of Fame
75846761,Hall Of Fame
64019792,Hall Of Fame
75846757,Hall Of Fame
75846753,Hall Of Fame
75846758,Hall Of Fame
75846760,Hall Of Fame
75846755,Hall Of Fame
64019789,Hall Of Fame
64019790,Hall Of Fame
64019793,Hall Of Fame
75846759,Hall Of Fame
75846754,Hall Of Fame
3850726,The Vichy Government
3850730,The Vichy Government
3850729,The Vichy Government
3850727,The Vichy Government
3850732,The Vichy Government
3850731,The Vichy Government
3784503,The Vichy Government
3850725,The Vichy Government
3784502,The Vichy Government
3784506,The Vichy Government
3850724,The Vichy Government
3784504,The Vichy Government
3850728,The Vichy Government
3850733,The Vichy Government
3784505,The Vichy Government
61811250,Alpha 5.20
3740985,Alpha 5.20
3740982,Alpha 5.20
3740986,Alpha 5.20
3740996,Alpha 5.20
3740994,Alpha 5.20
61811221,Alpha 5.20
3740993,Alpha 5.20
3740991,Alpha 5.20
3740990,Alpha 5.20
61811229,Alpha 5.20
5716313,Alpha 5.20
3740988,Alpha 5.20
64303760,Alpha 5.20
3741001,Alpha 5.20
5484759,Kingdom Come
5484575,Kingdom Come
5484572,Kingdom Come
5484760,Kingdom Come
5484757,Kingdom Come
5484581,Kingdom Come
89953457,Kingdom Come
5484580,Kingdom Come
5484751,Kingdom Come
5484579,Kingdom Come
5484577,Kingdom Come
5484574,Kingdom Come
5484756,Kingdom Come
5484750,Kingdom Come
5484573,Kingdom Come
58587521,Felt
58587541,Felt
49525901,Felt
58626071,Felt
58288731,Felt
49525881,Felt
58587491,Felt
58587511,Felt
58587501,Felt
58626121,Felt
58587581,Felt
49525891,Felt
49525921,Felt
58552881,Felt
49525861,Felt
69805895,Archie Roach
101975647,Archie Roach
101975637,Archie Roach
3928143,Archie Roach
101975651,Archie Roach
101975635,Archie Roach
3928145,Archie Roach
101975641,Archie Roach
101975661,Archie Roach
3928142,Archie Roach
101975639,Archie Roach
101975643,Archie Roach
101975667,Archie Roach
101975645,Archie Roach
101975649,Archie Roach
3528744,Lamb
3528750,Lamb
3528748,Lamb
3528747,Lamb
3528749,Lamb
3528752,Lamb
60113421,Lamb
3528751,Lamb
3528753,Lamb
3528743,Lamb
3528745,Lamb
13238698,Lamb
60113391,Lamb
3528746,Lamb
10347820,Lamb
17844447,Spyro Gyra
17844451,Spyro Gyra
17844442,Spyro Gyra
17950213,Spyro Gyra
17844458,Spyro Gyra
72619843,Spyro Gyra
72619844,Spyro Gyra
17844443,Spyro Gyra
72619847,Spyro Gyra
72619846,Spyro Gyra
17844464,Spyro Gyra
17844454,Spyro Gyra
17844457,Spyro Gyra
17844444,Spyro Gyra
71272091,Spyro Gyra
96348260,Katatonia
82744796,Katatonia
82744816,Katatonia
71359723,Katatonia
69865620,Katatonia
82818894,Katatonia
82744808,Katatonia
73403957,Katatonia
82818900,Katatonia
69865627,Katatonia
96379506,Katatonia
69865632,Katatonia
71405159,Katatonia
82818896,Katatonia
82818916,Katatonia
63738980,DJ Rupture
63738988,DJ Rupture
63738978,DJ Rupture
63738974,DJ Rupture
63738987,DJ Rupture
63738979,DJ Rupture
63738989,DJ Rupture
63738976,DJ Rupture
63738982,DJ Rupture
63738983,DJ Rupture
63738977,DJ Rupture
63738985,DJ Rupture
63738981,DJ Rupture
63738986,DJ Rupture
63738984,DJ Rupture
3475873,Golden Boys
3475752,Golden Boys
3475872,Golden Boys
3475868,Golden Boys
3475758,Golden Boys
3475750,Golden Boys
59732001,Golden Boys
3475754,Golden Boys
3475749,Golden Boys
3475753,Golden Boys
3475756,Golden Boys
3475755,Golden Boys
3475540,Golden Boys
3475748,Golden Boys
3475874,Golden Boys
46236171,Christos Dantis
46236371,Christos Dantis
46236391,Christos Dantis
46236161,Christos Dantis
46236231,Christos Dantis
46236211,Christos Dantis
46236201,Christos Dantis
46236351,Christos Dantis
46236241,Christos Dantis
46236311,Christos Dantis
46236331,Christos Dantis
46236381,Christos Dantis
46236321,Christos Dantis
46236401,Christos Dantis
46236271,Christos Dantis
128973220,Biffy Clyro
14688295,Biffy Clyro
17044652,Biffy Clyro
17044654,Biffy Clyro
57631471,Biffy Clyro
128973218,Biffy Clyro
57631441,Biffy Clyro
14688294,Biffy Clyro
128973216,Biffy Clyro
128973208,Biffy Clyro
17044653,Biffy Clyro
128973214,Biffy Clyro
128973204,Biffy Clyro
128973358,Biffy Clyro
128973210,Biffy Clyro
124191018,Billy Cobham
102419948,Billy Cobham
123829946,Billy Cobham
124191036,Billy Cobham
94505388,Billy Cobham
123829950,Billy Cobham
101679773,Billy Cobham
123829952,Billy Cobham
124191022,Billy Cobham
123829944,Billy Cobham
123829938,Billy Cobham
123829940,Billy Cobham
124191040,Billy Cobham
123836712,Billy Cobham
124191024,Billy Cobham
5979389,Foals
5979394,Foals
3963794,Foals
5979396,Foals
3762206,Foals
5979406,Foals
5979398,Foals
14687259,Foals
5979390,Foals
3587446,Foals
5979397,Foals
5979386,Foals
5979387,Foals
5979385,Foals
5979392,Foals
138196351,Mediengruppe Telekommander
138196347,Mediengruppe Telekommander
14598442,Mediengruppe Telekommander
138196353,Mediengruppe Telekommander
138196341,Mediengruppe Telekommander
138196361,Mediengruppe Telekommander
138196357,Mediengruppe Telekommander
3339832,Mediengruppe Telekommander
138196345,Mediengruppe Telekommander
138196359,Mediengruppe Telekommander
138196349,Mediengruppe Telekommander
14693066,Mediengruppe Telekommander
14598443,Mediengruppe Telekommander
138196355,Mediengruppe Telekommander
3339831,Mediengruppe Telekommander
13472218,Kill The Client
13472219,Kill The Client
13472221,Kill The Client
13472230,Kill The Client
3522909,Kill The Client
13472233,Kill The Client
13472223,Kill The Client
13472229,Kill The Client
13472231,Kill The Client
13472227,Kill The Client
13472232,Kill The Client
13472234,Kill The Client
13472220,Kill The Client
3522907,Kill The Client
13472235,Kill The Client
10114117,Michael Card
7820785,Michael Card
7820782,Michael Card
7820802,Michael Card
7820784,Michael Card
10114102,Michael Card
7820804,Michael Card
7820786,Michael Card
10114111,Michael Card
7820783,Michael Card
7820787,Michael Card
38332441,Michael Card
10114098,Michael Card
7820781,Michael Card
10114116,Michael Card
14749121,Perturbazione
36875661,Perturbazione
36875751,Perturbazione
14749116,Perturbazione
14749138,Perturbazione
14749129,Perturbazione
36875711,Perturbazione
36875731,Perturbazione
14749114,Perturbazione
14749113,Perturbazione
36875681,Perturbazione
14749118,Perturbazione
14749115,Perturbazione
14749112,Perturbazione
36875691,Perturbazione
2192893,Brazilian Girls
1577452,Brazilian Girls
1577445,Brazilian Girls
124111400,Brazilian Girls
2192894,Brazilian Girls
2192892,Brazilian Girls
3060133,Brazilian Girls
2192897,Brazilian Girls
2192889,Brazilian Girls
2192896,Brazilian Girls
1577442,Brazilian Girls
2192900,Brazilian Girls
18082159,Brazilian Girls
15236213,Brazilian Girls
1577449,Brazilian Girls
81812216,Big John Greer
59286661,Big John Greer
59286671,Big John Greer
59286601,Big John Greer
65676621,Big John Greer
86036825,Big John Greer
59286631,Big John Greer
130516246,Big John Greer
59286581,Big John Greer
59286681,Big John Greer
59286641,Big John Greer
59286611,Big John Greer
