dzr_sng_id,artist_name
86441871,john o'conor
11801946,masterstroke
17902591,bjorn akesson
66882525,sykur
113495504,crystal pharoah
145308808,brace
114795482,manteca
24515321,james macmillan
11401824,jimmy burns
18130994,sam 'lightnin'' hopkins
76455452,johnny guitar watson
69083950,budgy
17513951,marcello fantoni
73800219,ialive
78298058,no shame
362083121,tamara filipovic
85403200,stortregn
112321388,rosy
16270302,gyorgy szabados
4055829,dubxanne
15071533,curtis lundy
67670520,katie webster
80151456,don baker
75224622,kingbastard
6052477,michael schiefel
69770573,monte montgomery
11491868,reverend f.c. barnes & company
9130292,last train home
9120521,lechery
19926151,abk
76725598,dead 50's
83241498,chris murray combo
4919002,alpha boy school
95572140,eugene powell
67670752,c.j. chenier
101919797,christoph irniger trio
139021209,george melly
57277291,the bamboos
10890358,fiona boyes
119931090,dinamitri jazz folklore
65169422,eldkollektivet
6328720,bass patrol
1155371,willi williams
8955850,mistaken identity
8356682,tony roots
11168186,jack logan
88200173,thorin
104869972,concertgebouw orchestra
9188326,kim esty
76162422,guitar trek
7593922,j.c. lodge
16786456,john turner
16776056,william grant still
11358035,ballin' a$$ dame
15418995,manboy
82971876,abraham burton
11879874,matt corcoran
13254287,melina leon
360375921,konzerthausorchester berlin
10289710,moonshine bandits
77232824,up the chain
17157912,the stoner
65721878,jinx
17395290,liechtenstein
18089214,paula fernandes
23799231,brun dalibor
11028526,the mambo express
392036012,ruthless juveniles
16765482,belgian radio and television philharmonic orchestra
131039704,kim andre rysstad
12581846,57 dynasty
74832738,delta
13591314,tanto metro & devonte
12479727,michel telo
16733207,arnhem philharmonic orchestra
32265661,kalenda maya
366388601,flu(o)
73398547,jan johansen
16789915,johann aratore
102526418,dante fire
58330811,michelle shocked
75739581,elis
144300158,poolside
63577503,yasar
66033764,howard tate
17607632,jeremih
109935564,mike reed's people places & things
32622231,bush chemists
77163814,stitch mouth
12930819,las perlas del son
12075111,j. blackfoot
138917105,maya homburger
66651372,las ruinas
11028517,the mambo express
11699916,the pocket
15264327,son goku
17081716,the raveners
10891781,hot snakes
87194777,eg kight
10605497,jeb loy nichols
17895050,rebekka bakken
11597641,jovenes del hierro
69288910,blue rose
75739585,elis
15314377,empire state
6405374,while
96364526,central line
9850937,anweledig
100039474,david chesky
569037,'weird al' yankovic
64227847,alfredo marcucci
68114230,andy van kayne
30845691,bush chemists
62067972,echo image
5270335,luis carlos acacio
5342155,ricardo rico and his orchestra
44718481,henry townsend
11999761,pop unknown
8732359,ras attitude
71001449,the gibsons
139494159,benjamin schaefer trio
102221150,ialive
77078714,shock
47243601,allan pettersson
76839483,cary hudson
5592016,the briefs
70274345,afro cuban all stars
119640922,ziegler project
6684741,this drowning man
102079398,spring heeled jack
72215154,tripswitch
143846442,estrellas cobo
969863,perez prado y su orquesta
64734937,l'assemblee
16735553,izabella klosinska
13496893,sanchez
20680531,paul mauriat and his orchestra
142373129,hue b
72166618,relic
143844700,issac delgado
7311208,sylvain luc
2661209,only men aloud
73318776,tackhead
20603711,wisin & yandel
18134410,jo-el sonnier
36052041,gangrene
43745811,daddy rings
22342691,kevyn lettau
11699901,the pocket
17429727,philip rosseter
115751254,beneficence
13307441,ara ketu
75362943,gerard van maasakkers
11655095,mike mainieri
95389326,joyce moreno
13271866,total devastation
68555775,carlos del junco
11058992,trio mocoto
47390351,pehr henrik nordgren
82746598,tann
101836945,nice beaver
63012994,lonely woman
16977048,toquinho
69465624,willits + sakamoto
32582471,joe higgs
47390371,pehr henrik nordgren
82976204,masako goda
8900761,michael musillami
16819646,oovation
67679606,rick estrin & the nightcats
69893569,lacksley castell
4760484,peter joback
66033769,howard tate
11338906,the new morty show
67908139,charlie patton
10776029,manzana
14577302,sunset
64304596,otis taylor
141105073,big jack johnson & the oilers
11174496,tito allen
133961998,theo bleckmann
125936391,bum city saints
67558976,paul lamb & the king snakes
83653854,charn
119946524,low entropy
407238232,raleigh moncrief
99911888,now ensemble
65932569,alexander o'neal
131039710,kim andre rysstad
16012768,yarbrough & peoples
64240468,mike reed's people places & things
16788652,roberto baraldi
10962638,walter horton
83241474,chris murray combo
125121742,josue melendez
14977070,ska-j
71336050,claudia telles
16717142,philippe lefebvre
14517990,kaan demirel
1126439,king tubby and friends
119794196,mozzy
68221804,cologne gurzenich orchestra
65615553,quartetto prometeo
16265929,la nef
71994341,ecos del rocio
68638368,elizabeta zaloviC
138792075,junior parker
407453482,gimmik
38363321,gina star
69627878,chris proctor
355883711,katarina sotirovic
5270350,luis carlos acacio
7522527,patxi
32265621,kalenda maya
408767072,rhythm collective
131553554,delgarma
1014796,albita
8489217,daryl stuermer
10962792,chris cain
16812945,hong kong philharmonic orchestra
61053884,eldkollektivet
10890353,fiona boyes
82512868,capricornus consort basel
388107271,robbie hill's family affair
18124252,dennis alcapone
7499145,per tjernberg
101919805,christoph irniger trio
64255777,tappa zukie
34220211,morten halle
71693846,asherah's veil
140574059,flip grater
65476471,Vika Tsyganova
13101145,jordi mb
117563524,marilyn scott
60892181,michel van dam
142784060,delta moon
6972943,s.t.s.
139019185,eduardo niebla
17821559,trio esperanca
66900730,bigg robb
404975752,ernie johnson
139514907,the pasadena roof orchestra
17905235,uscb allstars
13872081,j boog
14913563,derrick morgan
12075126,j. blackfoot
11856313,the aggrovators
17805314,lazy lester
131506958,discover.
2952964,lutricia mcneal
5501037,juan d'arienzo y su orquesta tipica
16270303,gyorgy szabados
69371702,valerie smith
63048641,divine noise attack
122478680,rezinsky
61219906,suora lahetys
64529636,novos baianos
65420871,carol duboc
32622211,bush chemists
380670851,comets we fall
67679608,rick estrin & the nightcats
69813853,madchild
78955833,krystian zimerman
399481512,dilip n the davs
11532487,juke boy bonner
394708132,errol brown
395418032,dave gunning
70045815,chad wackerman
129074756,johann asmundsson
128662745,irvine arditti
11845928,derrick morgan
66032961,aureole trio
65751049,rivers
109787284,cul de sac
1074740,the pasadenas
4919007,alpha boy school
5501039,juan d'arienzo y su orquesta tipica
837903,perez prado y su orquesta
74265439,rosy
71203743,t&n
10852336,global journey
138710371,bernhard eder
9087555,lil' rascal featuring ice water slaughter
43730211,rik emmett
11362004,united states three
30530381,wooden wand
35459241,j.t. lauritsen & the buckshot hunters
16308917,yo yo band
11034655,jo stafford
135055494,huldre
82904932,pastorella la
107700982,boris krainer
78198032,yundi li
15378976,keith murray
69692671,parabalix
66027211,b.g. & the chopper city boyz
609068,the ebonys
63615555,k-rock
10872013,thug lordz
61219914,suora lahetys
67503204,eastwest rockers
9537205,los granadians del espacio exterior
118554378,dante fire
71942481,stichting opwekking
12015549,razorwire
10735092,sarpanitum
72712652,ecos del rocio
23654721,gabi novak
5020253,bb seaton
14451894,a.r.d.i.
12930828,las perlas del son
404972272,keisa brown
11467511,the soulbreaker company
365009061,you blew it!
74090753,janna
11426376,mykal rose
61540509,stigh strandh
16268825,kolja blacher
72840305,gregg martinez
11882211,nick moss & the flip tops
67680398,rymania
8743103,ranking dread
16536061,gabor gado
72215156,tripswitch
62067962,echo image
82570672,canartic
65428191,daniel munoz felix llancafil & 3x7 veintiuna
13492783,richie stephens
132295132,la casa azul
8435132,terry garland
4710907,stella jones
371122861,jw-jones
138396833,blue harlem
123125092,francesco diodati
10571229,last call
130812790,the lost fingers
118554382,dante fire
8489218,daryl stuermer
130174830,supajan
101836941,nice beaver
28573041,janusz radek
10978722,yoskar sarante
12410817,johnny adams
10837639,marimba quest
69656876,paul hyde
10520535,watermelon slim
16721236,vlach quartet prague
65289141,robert logan
63754770,rheinallt h. rowlands
31023261,the school
63564779,escort
9424992,hwy e
82570682,canartic
70941665,sims
64417855,l'assemblee
74832734,delta
388475531,omega massif
120078254,Triada
65954364,jean-michel pilc
19995061,micah stampley
18130988,sam 'lightnin'' hopkins
2292041,juan rozoff
63747579,guayacan orquesta
17090338,martin libsen
13266880,ifa
15345423,kurt sowinetz
28611361,barb jungr
66719727,andreas schickentanz
72703171,nelson
32198631,norsk utflukt
124089438,ashley bathgate
68114231,andy van kayne
73753821,gaiser
124089442,ashley bathgate
105778636,dudley taft
4009564,benuts
11420246,gina star
94091824,vance kelly & his backstreet blues band
19926161,abk
46759741,la nef
68190487,messiah college chamber singers
109650446,daniel jordan
134323208,j boog
83007786,philip clemo
69484673,mitsou
82964698,mulgrew miller
16136324,sulima
66208331,nilufer
11371859,ocho y media
6246473,dennis taylor
63457342,eddie hinton
110611310,rebecca loebe
11655020,mike mainieri
373271631,george mraz
64086578,isabel parra
67823856,ottorino respighi
16444548,fred locks
72777047,rashaun will
407216972,ghost bike
30530411,wooden wand
72072550,dusky
99898756,marilyn nonken
89942409,goteborgs gosskor
14873786,matt bukovski
4049739,wackies
27193591,johnnie taylor
130403312,christian brons
118830756,caro josee
66045792,homeboy sandman
15430009,deitrick haddon
3087049,dorthe kollo
6187679,pobel & gesocks
142724004,nona hendryx
15373443,neppumuk z
69983909,jay-el
139019187,eduardo niebla
61338362,charlie straight
141138667,isadar
68570922,alex torres & his latin orchestra
23873941,jesper lundgaard
13641608,botoxbrain
71159240,stitch mouth
143730270,poison clan
70669394,chris hawk
81355982,istvan matuz
11999757,pop unknown
72215162,tripswitch
130434608,duck soup
60933942,mats moller
399385112,errol organs
66589541,escort
100499630,gq
1026943,the chambers brothers
407271262,invisible boy
129791598,leroy bell
7515417,yoel levi & atlanta symphony orchestra
18177510,sandviken big band
67500690,daab
72215159,tripswitch
15864862,orquesta de la luz
9555005,the glimmer room
79003652,krystian zimerman
16074486,belchior
8839918,no sports
45114801,gildor roy
11680613,dayglo abortions
32265691,kalenda maya
18047434,floetry
353644091,trio tesis
142373133,hue b
4044016,memo gonzalez & the bluescasters
28066881,henning gravrok
81485444,thomas demenga
86066131,lecuona cuban boys
87047807,thomas marriott
6558843,mighty diamonds
87194771,eg kight
69770570,monte montgomery
82976206,masako goda
373271641,george mraz
9530089,greg chako
145308804,brace
32265641,kalenda maya
86442283,empire brass
75950834,iyeoka
75767866,ray stevens
17000845,arnaldo antunes
47067771,louis vierne
4978862,cuba missouri
130251074,supajan
71177152,robert lee mccoy
65980587,the team
44086791,the dynamites
65986846,trademark da skydiver
68447021,dj hoppa
15010589,citizen jane
2262981,fernando express
11028520,the mambo express
71167075,tito puente and his orchestra
43138351,van dressler
143760418,laito jr.
15906029,miikka leinonen
123593002,mozzy
127884355,savage
16806977,alan rawsthorne
78190743,anatol ugorski
72245258,marty dread
8284126,verny varela
87110761,jen chapin
71171183,fortunate youth
388043451,spaceslug
11327630,bad meets evil
119640936,ziegler project
7083854,machito and his orchestra
8663233,samuel ljungblahd
49879221,ernest chausson
13013924,normand guilbeault ensemble
100499614,gq
62986989,la grande illusion
25312401,vertex
105251738,irvine arditti
103590154,michel banabila
19822661,rita coolidge
4788401,wurtemberg
11145582,genocide organ
14894715,denis sender
405680742,king floyd
61662160,wally warning
65364607,daniel munoz felix llancafil & 3x7 veintiuna
102221156,ialive
15472047,jose augusto
5345075,tomas pavon
66173196,yasar
37412261,ottorino respighi
66208293,tanju okan
10837637,marimba quest
141115521,eg kight
86759531,mamont
83700842,little mike and the tornadoes
58727651,lars gullin
129217692,silvetti
72996266,open season
13001037,the soulbreaker company
388380711,street troopers
131293684,harry j allstars
82872916,tampere philharmonic orchestra
145308672,glennis grace
23374881,liechtenstein
30595901,zac harmon
34571361,marianne antonsen
16784941,accademia i filarmonici
1585232,toots hibbert
90127791,jaguar
5895030,angela johnson
65962435,burnt by the sun
12012903,charles gayle
69983913,jay-el
10963305,anthony
96003294,fernanda takai
61190883,stevie stone
75739584,elis
30398711,heidecker & wood
14094263,dumpstaphunk
8489219,daryl stuermer
23702851,kid creole and the coconuts
67670742,c.j. chenier
139241327,miracle mile
138053145,thundamentals
78917321,Ivan Kuchin
63786597,david starobin
390337831,scott miller and the commonwealth
31926681,martin libsen
10963182,mala fe
64411858,euphoric feel
70493514,bobby sick
123253342,midnight ravers
413099032,the lost highway
65953337,john luther adams
15064424,kc & the sunshine band
66030545,david arden
83450974,diederik rijpstra
2952613,cappuccino
143846440,estrellas cobo
83310898,rhyme university
8454536,the tallest man on earth
98570786,fortunate youth
74090751,janna
49151851,cologne gurzenich orchestra
2746004,carl dawkins
2545040,africa unite
32646641,prince alla
11523740,raulin rodriguez
407238292,raleigh moncrief
4944668,monty alexander
11856304,the aggrovators
65971708,necrodeath
353383581,duo los compadres
11168190,jack logan
360404651,basel radio symphony orchestra
32269111,terje tysland
16051746,timbalada
48822161,ulrich gumpert workshop band
129954780,voo voo
11099692,john nemeth
48820731,david friesen
18142027,thelonious monk septet
10955962,mitch kashmar
66755003,new rules for boats
12297043,polyrhythmics
71853359,riviera regime
11893230,piledriver
65936099,jacob do bandolim
388382731,omega massif
65428182,daniel munoz felix llancafil & 3x7 veintiuna
1028099,the chambers brothers
61558453,matti esko
8709036,the riffs
100499638,gq
17719572,niko ahvonen
5564351,kissinger
136134712,roots
67823006,louis vierne
13404681,dear reader
19530191,nightingale
130403308,christian brons
82825004,andrzej bialko
76722437,bambi lee savage
139021211,george melly
58367271,tann
114627664,the new standards
68771048,ciecmate
62462391,harten 10
17622187,tony pabon y la protesta
17090339,martin libsen
15419001,manboy
2277252,the undisputed truth
9120525,lechery
11304686,carol duboc
71336052,claudia telles
11338905,the new morty show
75545230,dialeto
67670333,son seals
96939772,case
19526631,governor andy
1155372,willi williams
8835150,ntrsn
11301063,paco
388105561,hillbilly rawhide
14984301,ward 21
96051132,leon thompson
70669389,chris hawk
7978259,mykal rose
82954232,mulgrew miller
10838749,lou e lou
69369730,the royals
2906643,marlene johnson
7326687,arkaik
63012997,lonely woman
80151432,don baker
63644590,carey & lurrie bell
136261498,george mraz
63730256,gary primich
10765275,kalle baah
108819128,syntheme
63768240,david starobin
5805495,casche'
47498591,the norwegian soloists' choir
10891789,hot snakes
63489810,eddie kendricks
126102663,erotic biljan and his heretics
6972938,s.t.s.
15964899,aerotek
76871491,the flood
53174221,hans theessink & terry evans
73753822,gaiser
13591298,tanto metro & devonte
140082579,mr. envi'
7071703,richie stephens
63644593,carey & lurrie bell
8973845,margaret carlson
64508386,mike morgan and the crawl
15197968,jiri schelinger
17983747,rico
61834995,prazsky vyber
82939322,poeme harmonique
68197696,giorgio koukl
16725266,pablo de sarasate
76728803,dodge
71108153,radiacs
69256091,zeljko vasic
63707978,jose pena suazo y la banda gorda
15284553,matt bukovski
73883294,pretty tony
125909323,gabi novak
373271611,george mraz
76553297,tropical fantasia
117229746,kym amps
357081351,affkt
78417139,lasalle quartet
12773466,quinto mayor
71177150,robert lee mccoy
12532311,soulscar
11192254,handful of hate
63914402,bjorn akesson
64090466,ana caram
26630301,dan styffe
145564772,lonewolf
100501392,gq
65996424,wayne gorbea's salsa picante
15930219,alex tasty
44247801,die art
16722252,jacob heringman
63801925,dj squeeky
96364554,central line
73962447,irina mikhailova
134166738,paul lamb & the king snakes
71177141,robert lee mccoy
11647733,sour jazz
12297038,polyrhythmics
129193696,jeff oster
47864711,allan pettersson
78066325,lil flip
2325538,carriere
12067757,danny bryant's redeyeband
136188148,roots
8568753,smallz one
17081721,the raveners
64734944,l'assemblee
5496186,belchior
18136896,moreland & arbuckle
12176544,anselmo sacasas y su orquesta
75362939,gerard van maasakkers
131488044,deantoni parks
65263324,Vorovaiki
85377598,peter joback
141105067,big jack johnson & the oilers
12176834,tito puente and his orchestra
123278166,giancarlo tossani
353383671,duo los compadres
388475511,omega massif
86094871,adrian younge
2287128,floetry
11076677,dj's rule
12016881,green peppers
17983754,rico
132751770,pedro javier gonzalez
11829215,infinity
24661931,muzio clementi
78377076,opus 5
17429707,philip rosseter
77798541,t-model ford
1074750,the pasadenas
16293323,the upsessions
43138361,van dressler
17329919,george faith
140698687,Vika Tsyganova
12064200,j.c. lodge
72535879,vnm
14444500,talisman
13872077,j boog
61219907,suora lahetys
65751045,rivers
404975812,ernie johnson
6474509,sancta sanctorum
63790135,albany symphony orchestra
11655105,mike mainieri
11161490,david evans
71804149,wolfgang hock
130929764,jack stillwater
66311427,rita marley
57277371,the bamboos
6583738,citizen jane
388375881,the butlers
20240201,banda sinaloense el recodo de cruz lizarraga
80503134,philip mayer
65619734,cubismo
417607562,kiwi
404955242,artie 'blues boy' white
2292037,juan rozoff
131346614,musici de montreal i
388105451,hillbilly rawhide
78696493,judy roberts
7092561,slaine
15060241,kc & the sunshine band
71988501,trio mocoto
63630740,k-rock
10765272,kalle baah
12060770,lloyd brown
9424704,hwy e
66045744,the stepkids
5345117,machito and his orchestra
102132226,spring heeled jack
67908257,mutabaruka
85454894,timbiriche
53772421,al husky
6900745,max b
64090464,ana caram
48028321,wolfgang hock
67112793,wallace roney
109005862,barbara eugenia
10962190,daniel moncion
71171185,fortunate youth
92500602,leon thompson
115505570,radio radio
17437771,clutch slip
12026733,johnny dyer
17983753,rico
411765982,nula kelvina
15064425,kc & the sunshine band
10765682,toro ensamble
83420324,blue rose
1074744,the pasadenas
63048632,divine noise attack
6987544,uniikki
16403811,adriano celentano
51487081,palomino duck
62141344,d-vided
66034814,howard tate
16378131,hollan holmes
66311448,judy mowatt
62065588,saoco
17182354,pam feather
83434816,bigg robb
17821571,trio esperanca
47659321,kay johannsen
52838681,other ego
16341766,sugar ray & the bluetones
79031463,stortregn
78499087,laurie morvan band
82512864,capricornus consort basel
7522529,patxi
131190676,bubbi morthens
10955954,mitch kashmar
11186861,tony evans dancebeat studio band
82825026,andrzej bialko
77853701,gangsta blac
129791596,leroy bell
84826311,hollan holmes
132609902,unknown mizery
407453522,gimmik
11390513,sector 7g
11982835,marva wright
64925533,low entropy
48830021,adam pieronczyk quartet
66755006,new rules for boats
84913805,orango
7083842,machito and his orchestra
96166304,fernanda takai
64729011,divine noise attack
123592994,mozzy
103095916,guillermo portabales
65986845,trademark da skydiver
17991816,los toros band
20422541,john popper
118752556,connie price & the keystones
132769242,radio killer
15842353,tempeau
12001354,pop unknown
11647596,joe beard
132751758,pedro javier gonzalez
11236998,el cabrero
21170791,tromboranga
108264584,free inside
14732845,omar and the howlers
73970250,dylan sires and neighbors
78067726,cedell davis
8507690,steve mann
8839929,no sports
64321588,regatta 69
62321620,brodrene olsen
30230381,t-model ford
27422411,offshore
11178321,gary primich
63093866,pat the white
8359097,the toyes
96702974,philippe lefebvre
98629044,melissa ferrick
136528074,geir ronning
2150006,big daddy kinsey
15419002,manboy
72279951,marie rottrova
14946197,derrick morgan
12163159,guillermo portabales
115505584,radio radio
80168384,jah levi
91012257,the electric peanut butter company
77170228,alex torres & his latin orchestra
6247084,don-e
14479356,bulkin
8427198,thapsalmist2
81568746,judy roberts
142154613,theo bleckmann
406519642,z.z. hill
69249591,batch
61709612,yellow umbrella
24661911,muzio clementi
4005587,kevin mcdermott orchestra
405340242,sigbjorn apeland
75101831,dan baker
83391078,lee benoit
60862953,spitfire
68929534,canartic
8542672,spacecraft
73318778,tackhead
65974704,angela johnson
85844177,white glove test
35071231,regina belle
7522530,patxi
83024344,sina
74700998,alexander stein
4356902,stars and stripes
11330398,the red paintings
47312891,alexander porfir'yevich borodin
11186862,tony evans dancebeat studio band
77183312,halcyon way
72227019,sean luciw
12176972,mariano merceron y sus muchachos pimienta
11182038,love grocer
16710833,herbert leonard
6264026,glen washington
370371011,lester butler
139175275,scottish national jazz orchestra
11192248,handful of hate
69893563,lacksley castell
11301066,paco
131754648,requiem
62135546,soneros de verdad
6688987,pumuky
83890483,mina agossi
43745921,daddy rings
7522525,patxi
118752532,connie price & the keystones
89950429,carmen linares
73318760,tackhead
79222345,cambridge singers
18129888,gary primich
9155932,kendrick scott oracle
18226577,jose augusto
17905233,uscb allstars
613890,the ebonys
11187449,love grocer
81627630,flatliner
7937774,while
93944216,no shame
70028624,the insomniaddicts
417607552,kiwi
99791872,sulie girardi
65491143,kendrick scott oracle
109005868,barbara eugenia
409476052,eraldo volonte
48054571,sibylla rubens
75283512,r.j. mischo
72703168,nelson
11508860,big bill morganfield
77293544,tromboranga
9064855,lonewolf
64508390,mike morgan and the crawl
75166021,don rich
113491170,bird of paradise
124817672,dice of dixie crew
58079901,adriano celentano
18140141,rance allen
47483021,sharon bezaly
14746209,ferrin & morris
10862762,the kilborn alley blues band
60845718,michel banabila
70535470,cap one
63768239,david starobin
11739827,jamie lloyd
17310125,krzysztof chochlow feat. baltica
15248576,blue knights
70353408,andrae crouch & disciples
67670516,katie webster
72935124,the mar-keys
65476482,Vika Tsyganova
30384441,mac arnold & plate full o' blues
3705841,ian parker
81871368,petar graso
15116171,niyorah
92064186,mantus
18142629,the legendary blues band
61540508,stigh strandh
73998090,the watch
61871897,andree watters
353383871,duo los compadres
64226044,kevin bowyer
16806985,alan rawsthorne
129213626,dakota staton
17978949,the paco de lucia sextet
77824793,oya bora
10719137,satoko fujii orchestra
8507693,steve mann
9479628,dj hoppa
66042244,peter green splinter group
6453312,bryon lee & the dragonaires
11497695,puerto rican power
30901231,jah warrior
86600413,leonidas kavakos
16786163,niklas eklund
31023271,the school
16977149,arnaldo antunes
8761846,michel huygen
74379375,les bb
81355592,Agnes beres
139241333,miracle mile
67670727,william clarke
17432947,augustin hadelich
11648973,les arbuckle
16421749,the cancer conspiracy
67687857,fenton robinson
15191101,isley jasper isley
65994191,walter beasley
65464912,andrew 'jr boy' jones
6716206,marina heredia
130993094,mind da gap
86831399,lecuona cuban boys
48827251,olaf rupp
4566461,only men aloud
5026016,washington
66882596,sykur
64688045,daniel rems
38901251,cee cee james
17395282,liechtenstein
14961425,keith hudson
7337766,stephan remmler
113229444,anik jean
116021648,kathleen supove
61723190,savage
94013066,drazen zecic
99791874,sulie girardi
20721921,wisin & yandel
406494452,z.z. hill
65705130,camera x
66657510,trio mocoto
138710373,bernhard eder
18142868,robert nighthawk
6988880,the lindsays
21170771,tromboranga
83007788,philip clemo
24496181,zoltan kodaly
31797431,william white
13838045,deep street soul
16977150,arnaldo antunes
23885581,dimitrovska-kalogjera ljupka
62017562,philip mayer
18142628,the legendary blues band
44041151,spark7
89562769,reducers sf
60845720,michel banabila
86858811,the march divide
9563091,george kelly
61568165,tomasz stanko marcin wasilewski slawomir kurkiewicz michal miskiewicz
65607030,dubmatix
15212131,michael bloomfield
9137092,language arts crew
12977697,jo stafford
9458899,hillbilly casino
8507694,steve mann
77941334,t-model ford
408766602,boomshell records
7937979,move.meant
80151454,don baker
69790733,jimmy barnes
38016961,brandsta city slackers
89942729,termanology
123236364,giancarlo tossani
73236709,passion
101032316,lloyd spiegel
17877793,svenska akademien
16788786,antony holborne
119946530,low entropy
6558332,winston jarrett
13230804,virtue
144505190,rename
10740900,last call
82932968,poeme harmonique
64114736,isabel parra
11076034,empire state
380670871,comets we fall
60791063,Arrapaa orchestra
4757493,the sensational skydrunk heartbeat orchestra
404700172,willie clayton
355600801,t-bone
16739806,giorgio koukl
85978331,siamgda
102091762,slaves
18203387,marina siertis
105096184,requiem
11526221,nicolas hodges
126006041,myrkur
65626834,gingerpig
17701563,sector 7g
134849518,no apologies
15391008,marvin sease
11125737,arnaldo antunes
10741228,yuri honing
119794180,mozzy
399481542,dilip n the davs
10963716,el prodigio
23636631,danijela martinoviC
75329140,dub city rockers
68161875,rocker-t
134372076,lewis parker
64114661,el cruce
115505572,radio radio
15327285,zseda
116226394,maya sar
60786544,krzysztof chochlow feat. baltica
18047427,floetry
11845922,george faith
118502874,schodt
23711741,tereza kesovija
67219573,brave
62289964,issac delgado
5342096,ricardo rico and his orchestra
9120518,lechery
96364544,central line
13232872,la india
82297284,m-rock emrik
411768132,the puzzled
30398651,heidecker & wood
11893597,jackie edwards
16702688,taimur sullivan
64114653,el cruce
65491144,kendrick scott oracle
65172467,piotr bukartyk
80396196,ray anderson
54214181,finn coren
3705848,ian parker
7937926,celly cel
14801465,dorthe kollo
379166431,andrew 'jr boy' jones
85241718,los toros band
1161560,keith hudson
18023209,rufus & chaka khan
82297278,m-rock emrik
17736066,giovanni sollima
108611730,pablo gad
82892966,pastorella la
63914401,bjorn akesson
62953471,caught in the act
2850679,thirteen
108842952,heterotic
15410911,chiclete com banana
72013051,layla zoe
41891291,leo sowerby
12049038,cornel campbell
132782306,michel huygen
65972703,riotgod
33125691,carpe diem string quartet
17905186,uscb allstars
81994864,celeste
101911053,david ruffin
90845577,skyla vertex
86424861,wisin & yandel
24494751,mieczyslaw karlowicz
68570919,alex torres & his latin orchestra
11171513,svenska akademien
80792274,johnny pepp
77798071,t-model ford
8192389,zac harmon
118752544,connie price & the keystones
118398804,pilots
65263837,Sergei Liubavin
51814331,olaf rupp
130215392,maria faust group
11151917,the winstons
62178883,miguel iven
1268572,omar and the howlers
11655104,mike mainieri
67558979,paul lamb & the king snakes
66589543,escort
76871483,the flood
8013391,psilocybian
402602762,catafalchi del cyber
23874041,jesper lundgaard
94042462,hans theessink & terry evans
119270532,moran
12583138,bobby thurston
93569542,hinterland
6246508,dennis taylor
16207154,miikka leinonen
131050616,bubbi morthens
85235668,boo and gotti
7092550,slaine
6302353,funky aztecs
65995809,the floacist
69560476,ron thomas
12176545,anselmo sacasas y su orquesta
76869723,billy flynn
70684457,lakeside
10496515,terra samba
61050097,johanna debreczeni
62726778,logical disorder
96003306,fernanda takai
66045742,the stepkids
16024688,jack flash
8344936,the triggermen
134372092,lewis parker
68606969,d train
16421752,the cancer conspiracy
16439751,eva ayllon
77232826,up the chain
71352894,claudia telles
14801455,dorthe kollo
131488028,deantoni parks
89228955,eric plande
70623194,tony desare
138925023,kairos 4tet
11108546,quinto mayor
87303135,woss ness
62064728,saoco
17895046,rebekka bakken
17190012,robert lippok
66882532,sykur
12191423,gift of gab
47094621,zoltan kodaly
24980341,bar-kays
17114267,distorted memory
129214892,salsoul orchestra
65953336,john luther adams
6686114,anibal troilo y su orquesta tipica
10962362,preacher boy
17403879,urban d.
16071305,sto zvirat
11680623,dayglo abortions
388043441,spaceslug
107840068,virginie teychene
78433806,yevgeny kissin
2122016,wim sonneveld
76941080,batch
86600401,leonidas kavakos
10605503,jeb loy nichols
65600576,shorty
392083652,brooklyn rider
9568520,giants of science
68215631,stanislas quartet
11461727,antix
17315044,eino gron
60841654,celauro
143760412,laito jr.
87442415,clinton fearon
2352412,ana popovic
138826595,scottish national jazz orchestra
11321040,funky aztecs
17622185,tony pabon y la protesta
105437656,discover.
12479722,michel telo
83024338,sina
4058693,alpha boy school
32684641,neki to vole vruce
24248961,iambia
69257165,the royals
101250886,massiv
47961961,carlo domeniconi
103351346,junie
14963105,wailing souls
8359093,the toyes
8520316,status minor
44226911,avalona
105274144,termanology
16794598,joachim trio
7996273,sylvain luc
16784327,vlach quartet prague
11193147,dave stryker
10918973,mic crenshaw
104277998,concertgebouw orchestra
